student_id,student_name,age,gender,previous_grades,attendance_percentage,study_hours_per_week,assignments_submitted,exam_scores,student_success
1,Saanvi Das,23.0,Male,69.0,56.0,18.0,6.0,73.0,0
2,Ananya Sharma,20.0,Female,53.0,71.0,33.0,18.0,51.0,0
3,Rohan Kumar,21.0,Male,98.0,59.0,34.0,5.0,67.0,0
4,Vivaan Chopra,23.0,Male,59.0,,0.0,10.0,48.0,0
5,Ira Reddy,19.0,Male,88.0,64.0,20.0,10.0,60.0,0
6,Aarav Sharma,24.0,,,64.0,28.0,6.0,96.0,0
7,Aadhya Chopra,21.0,,,53.0,5.0,1.0,71.0,0
8,Ira Das,21.0,Female,63.0,81.0,36.0,18.0,55.0,1
9,Vivaan Patel,23.0,Female,53.0,72.0,0.0,3.0,42.0,0
10,Isha Mishra,18.0,Male,65.0,55.0,0.0,5.0,87.0,0
11,Aadhya Bose,19.0,Male,77.0,73.0,26.0,16.0,47.0,1
12,Pari Verma,23.0,Male,62.0,69.0,20.0,4.0,96.0,0
13,Pari Agarwal,19.0,Female,61.0,86.0,15.0,6.0,32.0,1
14,Ishaan Nair,19.0,Male,87.0,69.0,39.0,8.0,84.0,0
15,Ira Bose,24.0,Female,96.0,61.0,25.0,0.0,,0
16,Arjun Mishra,21.0,Female,58.0,82.0,15.0,0.0,92.0,0
17,Pihu Choudhary,20.0,Female,85.0,77.0,27.0,18.0,81.0,1
18,Aryan Choudhary,24.0,Male,90.0,57.0,0.0,5.0,53.0,0
19,Krishna Agarwal,24.0,Female,42.0,50.0,35.0,17.0,38.0,0
20,Ishaan Das,19.0,Male,81.0,86.0,9.0,9.0,66.0,0
21,Aditya Mishra,22.0,Female,58.0,71.0,,,82.0,0
22,Ananya Singh,21.0,Male,48.0,55.0,22.0,0.0,53.0,0
23,Isha Choudhary,18.0,Female,67.0,70.0,6.0,0.0,50.0,0
24,Isha Reddy,24.0,Male,59.0,81.0,6.0,12.0,69.0,0
25,Ira Chopra,20.0,Female,84.0,84.0,,4.0,91.0,1
26,Ira Mehta,22.0,Male,46.0,64.0,33.0,19.0,99.0,0
27,Ira Saxena,22.0,Male,53.0,54.0,3.0,0.0,98.0,0
28,Vihaan Saxena,18.0,,,95.0,13.0,19.0,43.0,0
29,Saanvi Mehta,24.0,Male,98.0,99.0,13.0,2.0,71.0,1
30,Aadhya Bose,20.0,Female,99.0,97.0,15.0,17.0,79.0,1
